,Tweet Author,Tweet Date,Tweet Text,compound,neg,neu,pos
85,@CNN,Fri Aug 17 10:44:05 +0000 2018,A Salvadoran woman has filed a federal lawsuit in Washington asking to be reunited with her infant daughter who nee… https://t.co/A0bpeDi7oD,-0.2263,0.095,0.905,0.0
86,@CNN,Fri Aug 17 10:39:00 +0000 2018,"Did you know? Everyone has brown eyes, even if they appear blue or green https://t.co/3Q14GtlTAQ https://t.co/7mLUy8TCV7",0.0,0.0,1.0,0.0
87,@CNN,Fri Aug 17 10:34:04 +0000 2018,Special counsel Robert Mueller's team has 3 times the evidence for Paul Manafort's next trial than his current tria… https://t.co/C2UXJWIZbg,0.4019,0.0,0.87,0.13
88,@CNN,Fri Aug 17 10:24:04 +0000 2018,The Department of Defense says Trump's military parade originally scheduled for Veterans Day will be postponed https://t.co/aoMFrZLsLw,-0.0772,0.098,0.82,0.082
89,@CNN,Fri Aug 17 10:11:24 +0000 2018,Serena Williams found out the man who killed her sister had been released from prison moments before suffering the… https://t.co/og4G3WdjCp,-0.8979,0.391,0.609,0.0
90,@CNN,Fri Aug 17 10:04:02 +0000 2018,Former Trump lawyer Michael Cohen informed a representative for Stormy Daniels he was willing to strike a deal to b… https://t.co/CUWO7geddk,-0.128,0.077,0.923,0.0
91,@CNN,Fri Aug 17 09:54:04 +0000 2018,"Republican campaigns, committees and outside groups have spent more than $1.7 million at Trump properties through t… https://t.co/Dph49w31YF",0.0,0.0,1.0,0.0
92,@CNN,Fri Aug 17 09:44:05 +0000 2018,Just how many secret tapes does Omarosa actually have? | Analysis by Chris Cillizza https://t.co/jUuQIESZXX https://t.co/PBUJEHfVfO,0.0,0.0,1.0,0.0
93,@CNN,Fri Aug 17 09:34:06 +0000 2018,"ISIS very much remains a threat and is ""well positioned"" to rebuild, despite being driven to only a few small towns… https://t.co/m20lCHAV8X",-0.3744,0.154,0.757,0.088
94,@CNN,Fri Aug 17 09:24:03 +0000 2018,READ: The letter Omarosa Manigault Newman's publisher sent to the Trump campaign https://t.co/4lCTEW813U,0.0,0.0,1.0,0.0
95,@CNN,Fri Aug 17 09:14:03 +0000 2018,"EXCLUSIVE: Omarosa Manigault Newman's publisher has responded to Trump's campaign's ""legal threats"" over her tell-a… https://t.co/QeJM18tkfZ",-0.0173,0.143,0.666,0.191
96,@CNN,Fri Aug 17 09:04:05 +0000 2018,Secretary of State Mike Pompeo announced that the Trump administration is establishing an interagency task force ai… https://t.co/CbEDD5V5pz,0.0,0.0,1.0,0.0
97,@CNN,Fri Aug 17 08:57:55 +0000 2018,"RT @cnnsport: ""It's a dark, dark road sometimes""

Olympic swimming great @MichaelPhelps discusses his struggle with depression and how he h…",-0.2263,0.221,0.627,0.151
98,@CNN,Fri Aug 17 08:54:03 +0000 2018,The architect of the bin Laden raid issues stunning rebuke of Trump's decision to revoke the security clearance of… https://t.co/0A2rZIXffb,0.6124,0.0,0.783,0.217
99,@CNN,Fri Aug 17 08:44:04 +0000 2018,Omarosa releases recording of Lara Trump offering her a campaign gig https://t.co/Hjx9Zem98F https://t.co/7xqZgIWE5U,0.0,0.0,1.0,0.0
100,@CNN,Fri Aug 17 08:34:05 +0000 2018,A body found at a New Mexico compound has been identified as a missing Georgia boy https://t.co/SWFmBcU1EJ https://t.co/nPAO6ACniu,-0.296,0.136,0.864,0.0
101,@CNN,Fri Aug 17 08:24:05 +0000 2018,Could Elon Musk lose control of Tesla? https://t.co/UxBMV6ihem https://t.co/CTtiJGmbnH,-0.4019,0.252,0.748,0.0
102,@CNN,Fri Aug 17 08:14:03 +0000 2018,The Vatican responded to a Pennsylvania grand jury report that detailed decades of sexual abuses by priests and cov… https://t.co/J5WhAeMr8C,-0.1531,0.153,0.72,0.127
103,@CNN,Fri Aug 17 08:04:22 +0000 2018,It takes most hikers between 10 and 12 days to complete this trail. Meet the ultra-runner who did it in two:… https://t.co/UUIVN0a1RE,0.0,0.0,1.0,0.0
104,@CNN,Fri Aug 17 07:54:06 +0000 2018,"New York University will offer a scholarship that covers tuition to every new, current and future medical student… https://t.co/kCshyEAQNx",0.0,0.0,1.0,0.0
105,@CNN,Fri Aug 17 07:44:05 +0000 2018,The US Air Force is looking decades back in time to create a new uniform https://t.co/cycjVz715x https://t.co/Z3DhD1arct,0.2732,0.0,0.877,0.123
106,@CNN,Fri Aug 17 07:34:02 +0000 2018,The US Food and Drug Administration announced the approval of the first generic version of EpiPen… https://t.co/in0VusR8J2,0.4767,0.0,0.838,0.162
107,@CNN,Fri Aug 17 07:24:49 +0000 2018,"""They stole the most sacred thing that I had, and that was my Catholic Church."" 

A Pennsylvania survivor of priest… https://t.co/DduYY4hYo2",0.3612,0.0,0.878,0.122
108,@CNN,Fri Aug 17 07:23:50 +0000 2018,New York City's recent decision to place a one-year cap on Uber and Lyft will hurt poor and minority riders and ent… https://t.co/iQgsaGP2E9,-0.7579,0.245,0.755,0.0
109,@CNN,Fri Aug 17 07:20:03 +0000 2018,"A Massachusetts man has been indicted on 52 charges and is accused of raping, kidnapping and killing three women, w… https://t.co/rAIjwpMtb6",-0.926,0.458,0.542,0.0
110,@CNN,Fri Aug 17 07:14:06 +0000 2018,"Paris has installed new open-air urinals, and they're...not exactly subtle https://t.co/PF0KrNbLDS https://t.co/qqtfSLGMbZ",0.0,0.0,1.0,0.0
111,@CNN,Fri Aug 17 07:10:14 +0000 2018,"Elon Musk has said that ""this past year has been the most difficult and painful year of my career"" in an emotional… https://t.co/l1447iJxlm",-0.7146,0.221,0.779,0.0
112,@CNN,Fri Aug 17 07:04:05 +0000 2018,A majority of Americans (55%) say they don't support the Trump administration's plans to establish a Space Force https://t.co/NC2PJ4d92N,-0.3089,0.124,0.876,0.0
