,Tweet Author,Tweet Date,Tweet Text,compound,neg,neu,pos
90,@realDonaldTrump,Mon Aug 13 16:13:11 +0000 2018,Wacky Omarosa already has a fully signed Non-Disclosure Agreement!,0.5797,0.0,0.651,0.349
91,@realDonaldTrump,Mon Aug 13 16:09:41 +0000 2018,"Just fired Agent Strzok, formerly of the FBI, was in charge of the Crooked Hillary Clinton sham investigation. It w… https://t.co/CdF4u5mu61",-0.5574,0.153,0.847,0.0
92,@realDonaldTrump,Mon Aug 13 16:04:51 +0000 2018,Agent Peter Strzok was just fired from the FBI - finally. The list of bad players in the FBI &amp; DOJ gets longer &amp; lo… https://t.co/cGnudOt0Wl,-0.7964,0.236,0.764,0.0
93,@realDonaldTrump,Mon Aug 13 15:12:31 +0000 2018,The very unpopular Governor of Ohio (and failed presidential candidate) @JohnKasich hurt Troy Balderson’s recent wi… https://t.co/TKh1keBxMj,-0.7717,0.309,0.691,0.0
94,@realDonaldTrump,Mon Aug 13 14:21:46 +0000 2018,"While I know it’s “not presidential” to take on a lowlife like Omarosa, and while I would rather not be doing so, t… https://t.co/wIBGKbbIyd",0.0,0.104,0.792,0.104
95,@realDonaldTrump,Mon Aug 13 13:50:27 +0000 2018,...really bad things. Nasty to people &amp; would constantly miss meetings &amp; work. When Gen. Kelly came on board he tol… https://t.co/BGxRsMoDbr,-0.8271,0.314,0.686,0.0
96,@realDonaldTrump,Mon Aug 13 13:27:08 +0000 2018,"Wacky Omarosa, who got fired 3 times on the Apprentice, now got fired for the last time. She never made it, never w… https://t.co/Z1ThUIHjr5",-0.802,0.255,0.745,0.0
97,@realDonaldTrump,Sun Aug 12 13:25:55 +0000 2018,“Seems like the Department of Justice (and FBI) had a program to keep Donald Trump from becoming President”.… https://t.co/Y3AFRR4z59,0.7096,0.0,0.731,0.269
98,@realDonaldTrump,Sun Aug 12 12:57:39 +0000 2018,Many @harleydavidson owners plan to boycott the company if manufacturing moves overseas. Great! Most other companie… https://t.co/zd8aJznyQW,0.4753,0.106,0.691,0.202
99,@realDonaldTrump,Sun Aug 12 12:34:06 +0000 2018,".@GovMikeHuckabee “Your paycheck is bigger, your pension is stronger.” @foxandfriends  Unemployment numbers are bet… https://t.co/AmGcl6EG7E",-0.4404,0.172,0.828,0.0
100,@realDonaldTrump,Sun Aug 12 12:24:12 +0000 2018,".@JudgeJeanine  “Bob Mueller, isn’t your whole investigation premised on a Fake Dossier, paid for by Hillary, creat… https://t.co/06fCWhPCI9",-0.4767,0.162,0.838,0.0
101,@realDonaldTrump,Sun Aug 12 01:51:10 +0000 2018,Bikers for Trump at Bedminster earlier today. Thank you! https://t.co/GWN56gYGT3,0.4199,0.0,0.763,0.237
102,@realDonaldTrump,Sat Aug 11 18:59:17 +0000 2018,Hundreds of Bikers for Trump just joined me at Bedminster. Quite a scene - great people who truly love our Country!,0.9148,0.0,0.576,0.424
103,@realDonaldTrump,Sat Aug 11 18:54:36 +0000 2018,....Do you believe Nelly worked for Fusion and her husband STILL WORKS FOR THE DEPARTMENT OF “JUSTICE.” I have neve… https://t.co/008GZHdbrl,0.0,0.0,1.0,0.0
104,@realDonaldTrump,Sat Aug 11 18:28:48 +0000 2018,The big story that the Fake News Media refuses to report is lowlife Christopher Steele’s many meetings with Deputy… https://t.co/Ww4P9iVZYd,-0.6808,0.237,0.763,0.0
105,@realDonaldTrump,Sat Aug 11 13:41:16 +0000 2018,I am proud to have fought for and secured the LOWEST African American and Hispanic unemployment rates in history. N… https://t.co/WEQZ43QHsH,-0.4084,0.291,0.511,0.198
106,@realDonaldTrump,Sat Aug 11 13:26:32 +0000 2018,The riots in Charlottesville a year ago resulted in senseless death and division. We must come together as a nation… https://t.co/LYtE6GGUgb,-0.802,0.298,0.702,0.0
107,@realDonaldTrump,Sat Aug 11 13:18:06 +0000 2018,".....Will the FBI ever recover it’s once stellar reputation, so badly damaged by Comey, McCabe, Peter S and his lov… https://t.co/uhKpEFVclt",-0.8003,0.285,0.715,0.0
108,@realDonaldTrump,Sat Aug 11 13:17:09 +0000 2018,Why isn’t the FBI giving Andrew McCabe text messages  to Judicial Watch or appropriate governmental authorities. FB… https://t.co/5fAM8psIVZ,0.34,0.0,0.876,0.124
109,@realDonaldTrump,Fri Aug 10 23:12:58 +0000 2018,Deal with Mexico is coming along nicely. Autoworkers and farmers must be taken care of or there will be no deal. Ne… https://t.co/lzN6xjL2Jk,0.5994,0.078,0.707,0.216
110,@realDonaldTrump,Fri Aug 10 22:58:05 +0000 2018,Thank you to Kanye West and the fact that he is willing to tell the TRUTH. One new and great FACT - African America… https://t.co/3WkFlEWfy5,0.8636,0.0,0.686,0.314
111,@realDonaldTrump,Fri Aug 10 22:47:45 +0000 2018,"Had a very good phone call with @EmmanuelMacron, President of France. Discussed various subjects, in particular Sec… https://t.co/Wxrno7cb8f",0.4927,0.0,0.834,0.166
112,@realDonaldTrump,Fri Aug 10 21:30:43 +0000 2018,"Democrats, please do not distance yourselves from Nancy Pelosi. She is a wonderful person whose ideas &amp; policies ma… https://t.co/WSd4CvmFQL",0.7184,0.0,0.739,0.261
113,@realDonaldTrump,Fri Aug 10 12:47:42 +0000 2018,"I have just authorized a doubling of Tariffs on Steel and Aluminum with respect to Turkey as their currency, the Tu… https://t.co/2m92Jw7Tbk",0.4767,0.0,0.86,0.14
114,@realDonaldTrump,Fri Aug 10 12:32:40 +0000 2018,".....Be happy, be cool! A football game, that fans are paying soooo much money to watch and enjoy, is no place to p… https://t.co/PafpzKzMCT",0.807,0.072,0.619,0.309
115,@realDonaldTrump,Fri Aug 10 12:18:55 +0000 2018,The NFL players are at it again - taking a knee when they should be standing proudly for the National Anthem. Numer… https://t.co/wbN9RbBj7a,0.5574,0.0,0.847,0.153
116,@realDonaldTrump,Fri Aug 10 11:49:48 +0000 2018,.@MariaBartiromo  “No evidence to launch even an investigation into potential collusion between Donald Trump and th… https://t.co/vtSwEL0wak,0.0,0.0,1.0,0.0
117,@realDonaldTrump,Thu Aug 09 22:50:31 +0000 2018,Jenna Ellis  “FBI thought they wouldn’t get caught because they thought that Hillary was going to win. There is ove… https://t.co/se6bVYavBk,0.5859,0.0,0.84,0.16
118,@realDonaldTrump,Thu Aug 09 19:43:25 +0000 2018,@LindseyGrahamSC  “Why didn’t the FBI tell President Trump that they had concerns about Carter Page? Is there a dou… https://t.co/f8hIHzmDiS,0.0,0.0,1.0,0.0
119,@realDonaldTrump,Thu Aug 09 17:00:42 +0000 2018,Congressman Ted Yoho of Florida is doing a fantastic job and has my complete and total Endorsement! Tough on Crime… https://t.co/OhGe48VbMr,0.69,0.061,0.688,0.251
120,@realDonaldTrump,Thu Aug 09 16:03:30 +0000 2018,Space Force all the way!,0.0,0.0,1.0,0.0
121,@realDonaldTrump,Thu Aug 09 16:02:33 +0000 2018,This is an illegally brought Rigged Witch Hunt run by people who are totally corrupt and/or conflicted. It was star… https://t.co/Nwrs5M3iDC,-0.6124,0.208,0.792,0.0
122,@realDonaldTrump,Thu Aug 09 13:22:39 +0000 2018,“There has been no evidence whatsoever that Donald Trump or the campaign was involved in any kind of collusion to f… https://t.co/bKtcI3tXBv,-0.296,0.095,0.905,0.0
123,@realDonaldTrump,Wed Aug 08 18:51:39 +0000 2018,RED WAVE!,0.0,0.0,1.0,0.0
124,@realDonaldTrump,Wed Aug 08 18:07:43 +0000 2018,"Congratulations to @LenaEpstein of Michigan on a job well done. Also, thanks for your great support!",0.9432,0.0,0.385,0.615
125,@realDonaldTrump,Wed Aug 08 15:25:55 +0000 2018,"As long as I campaign and/or support Senate and House candidates (within reason), they will win! I LOVE the people,… https://t.co/RY6QtbDhp4",0.914,0.0,0.577,0.423
126,@realDonaldTrump,Wed Aug 08 15:14:26 +0000 2018,"The Republicans have now won 8 out of 9 House Seats, yet if you listen to the Fake News Media you would think we ar… https://t.co/o78kNMeoCL",0.1531,0.108,0.764,0.128
127,@realDonaldTrump,Wed Aug 08 14:31:14 +0000 2018,5 for 5!,0.0,0.0,1.0,0.0
128,@realDonaldTrump,Wed Aug 08 04:28:09 +0000 2018,Congratulations to Josh Hawley on your big Senate Primary win in Missouri. I look forward to working with you towar… https://t.co/gGWY572ROS,0.8271,0.0,0.7,0.3
129,@realDonaldTrump,Wed Aug 08 03:52:43 +0000 2018,Congratulations to Bill Schuette. You will have a Big win in November and be a tremendous Governor for the Great St… https://t.co/x0HiT5ZjyH,0.9153,0.0,0.59,0.41
130,@realDonaldTrump,Wed Aug 08 03:23:54 +0000 2018,"Congratulations to a future STAR of the Republican Party, future Senator John James. A big and bold victory tonight… https://t.co/gyVGL7M3OQ",0.8481,0.0,0.62,0.38
131,@realDonaldTrump,Wed Aug 08 03:18:36 +0000 2018,.....Congratulations to Troy Balderson on a great win in Ohio. A very special and important race!,0.9224,0.0,0.43,0.57
